asset id,asset parent id,Parent asset type,Asset Agency,Parent Agency
bh8h-952r,q5vc-gyws,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
hpz7-md2y,,,"Financial Management, Office of (OFM)",
62jc-mhjk,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
sefr-g784,,,City of Colfax,
eeja-nwmh,,,"Public Instruction, Office of Superintendent of (OSPI)",
ry9s-rt6r,wnng-dhxk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
fvxx-c3hm,cqra-s74n,dataset,"Attorney General, Office of the (ATG)","Fish and Wildlife, Department of (DFW)"
sf53-er5z,,,"Public Instruction, Office of Superintendent of (OSPI)",
mb7e-gs8z,swyb-gmfy,dataset,"Secretary of State, Office of the (SECSTATE)",Washington State Technology Solutions (CTS)
txrw-fw59,,,"Financial Management, Office of (OFM)",
snqp-3ayk,3k8s-jgg8,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
7gcr-q84k,69ff-eep2,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
3fui-us56,,,Asotin County Library,
hrfw-cvsp,eavu-b2qa,map,"Public Instruction, Office of Superintendent of (OSPI)","Public Instruction, Office of Superintendent of (OSPI)"
7yy6-89nx,,,Other external user,
2nyn-cutz,braw-q475,parent asset is private or deleted,"Natural Resources, Department of (DNR)",parent asset is private or deleted
bhjd-unt4,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
nsr6-5nzh,,,Asotin County Library,
4ay7-sfzq,985a-f68u,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
qmeb-atkj,ktwz-dygw,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Other external user
6y4e-8ftk,,,"Fish and Wildlife, Department of (DFW)",
nfv9-d2qj,,,"Public Instruction, Office of Superintendent of (OSPI)",
pw59-nj5b,5piy-sp8f,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
padd-mby7,,,"Attorney General, Office of the (ATG)",
cfma-aqzr,,,"Fish and Wildlife, Department of (DFW)",
fdkr-wxze,,,"Public Instruction, Office of Superintendent of (OSPI)",
j9k2-y7m4,,,"Public Instruction, Office of Superintendent of (OSPI)",
tmay-2i9v,,,"Ecology, Department of (ECY)",
iypn-38uz,qxh8-f4bd,dataset,"Licensing, Department of (DOL)","Health, Department of (DOH)"
iqrw-294q,,,City of Colfax,
56tp-5t8v,,,Other external user,
ue2c-v89h,,,"Public Instruction, Office of Superintendent of (OSPI)",
7xtv-644s,cqra-s74n,dataset,"Labor & Industries, Department of (LNI)","Fish and Wildlife, Department of (DFW)"
mrqp-w8zz,,,Recreation and Conservation Office (RCO),
f4u4-uezp,,,"Public Instruction, Office of Superintendent of (OSPI)",
u9hd-fijw,auvb-4rvk,dataset,"Ecology, Department of (ECY)","Fish and Wildlife, Department of (DFW)"
vpx5-vneg,cqra-s74n,dataset,"Natural Resources, Department of (DNR)","Fish and Wildlife, Department of (DFW)"
tewu-zz88,,,"Public Instruction, Office of Superintendent of (OSPI)",
khux-8sdv,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
23sx-quvy,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
skn8-zpnt,769e-73q6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
qcpg-jrgs,swyb-gmfy,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
kzz2-96cx,mki6-79zp,dataset,Recreation and Conservation Office (RCO),"Ecology, Department of (ECY)"
5ucv-yi7u,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
v2gc-rgep,,,"Financial Management, Office of (OFM)",
m4su-e2x8,uyg8-hybx,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
697w-z93a,xms2-7pwe,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
4dkq-tm7t,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
4q53-9v2t,,,"Children, Youth, and Families, Department of (DCYF)",
u9rf-b5xv,,,"Public Instruction, Office of Superintendent of (OSPI)",
dumu-cf4s,fn6e-4szt,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
vqti-d92b,cqra-s74n,dataset,"Licensing, Department of (DOL)","Fish and Wildlife, Department of (DFW)"
vz5p-qvth,,,"Attorney General, Office of the (ATG)",
ez9k-2c5k,,,Asotin County Library,
kfrs-zqt5,,,Timberland Regional Library,
a3kv-hkc5,,,"Public Instruction, Office of Superintendent of (OSPI)",
krsk-s76t,,,"Financial Management, Office of (OFM)",
uz6r-xbn3,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
3jxr-etsd,pzcu-jpab,dataset,"Natural Resources, Department of (DNR)","Accountancy, State Board of (WBOA)(ACB)"
5duh-m3h5,,,City of Colfax,
yst2-3yx4,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
mzrg-w855,9bjy-hi93,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Financial Management, Office of (OFM)"
2qne-ma37,,,"Public Instruction, Office of Superintendent of (OSPI)",
xh35-3825,,,"Ecology, Department of (ECY)",
jp2s-a3k5,tn3n-uv4s,parent asset is private or deleted,"Ecology, Department of (ECY)",parent asset is private or deleted
ktwz-dygw,,,Other external user,
nfcx-sbny,,,Other external user,
hnj3-2ua8,pzcu-jpab,dataset,Washington Student Achievement Council (WSAC),"Accountancy, State Board of (WBOA)(ACB)"
iriq-j8p5,7iwq-4tne,dataset,Recreation and Conservation Office (RCO),"Salmon Recovery Office, Governor's (GSRO)"
shwa-savc,,,"Ecology, Department of (ECY)",
98ng-jhtx,,,"Financial Management, Office of (OFM)",
g3t6-ugwe,ydx3-umcz,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
rmtw-g652,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
93se-umhw,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ifyg-wsf5,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
urjb-dt6u,769e-73q6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Licensing, Department of (DOL)"
tq72-g58z,y8vk-3hy9,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
gv43-kd6t,,,"Public Instruction, Office of Superintendent of (OSPI)",
ptgu-ngbs,x2zm-eba9,dataset,"Financial Management, Office of (OFM)","Ecology, Department of (ECY)"
ihrb-sj26,,,"Children, Youth, and Families, Department of (DCYF)",
amzb-x99v,dwbh-u4rr,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
amzb-x99v,q2jk-dthc,filter,"Public Instruction, Office of Superintendent of (OSPI)","Accountancy, State Board of (WBOA)(ACB)"
63h7-zpny,,,"Ecology, Department of (ECY)",
w97i-wqxq,,,"Public Instruction, Office of Superintendent of (OSPI)",
drxd-mmm2,,,"Financial Management, Office of (OFM)",
c738-vqng,,,Asotin County Library,
dx9h-3hci,,,Washington State Technology Solutions (CTS),
aufs-tku5,,,"Public Instruction, Office of Superintendent of (OSPI)",
nkhe-chwh,jvx2-m4u3,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
pbve-ciyv,,,"Attorney General, Office of the (ATG)",
tsau-t9ps,auvb-4rvk,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
v4rj-vzug,,,"Ecology, Department of (ECY)",
2ba3-eae7,,,"Public Instruction, Office of Superintendent of (OSPI)",
pibt-tsav,eavu-b2qa,map,Asotin County Library,"Public Instruction, Office of Superintendent of (OSPI)"
wbpu-44t9,qxh8-f4bd,dataset,Washington State Technology Solutions (CTS),"Health, Department of (DOH)"
vpcu-aywb,jgyj-nq5v,parent asset is private or deleted,"Natural Resources, Department of (DNR)",parent asset is private or deleted
bbwv-q5hm,,,"Public Instruction, Office of Superintendent of (OSPI)",
ra7v-4b5q,,,"Natural Resources, Department of (DNR)",
du4y-bu9c,,,"Public Instruction, Office of Superintendent of (OSPI)",
gia4-fgdb,,,Washington State Technology Solutions (CTS),
2iwz-7guy,qb6f-d9a6,dataset,"Financial Management, Office of (OFM)","Salmon Recovery Office, Governor's (GSRO)"
t9yi-d56z,gpri-47xz,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Attorney General, Office of the (ATG)"
uk2w-v7qd,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ayz3-kckw,,,"Public Instruction, Office of Superintendent of (OSPI)",
q3qk-yy3p,,,"Financial Management, Office of (OFM)",
g472-n5ph,jeuk-pueh,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Enterprise Services, Department of (DES)"
xcmv-jijw,,,"Financial Management, Office of (OFM)",
6wsi-syty,qb6f-d9a6,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
rtp5-s6ih,,,"Public Instruction, Office of Superintendent of (OSPI)",
48qw-vixz,,,"Public Instruction, Office of Superintendent of (OSPI)",
wu7y-rbw5,,,Other external user,
euaf-jjvp,,,"Public Instruction, Office of Superintendent of (OSPI)",
ipx7-rw4z,,,"Public Instruction, Office of Superintendent of (OSPI)",
wd3c-tf85,769e-73q6,dataset,Washington State Technology Solutions (CTS),"Licensing, Department of (DOL)"
g2e2-aevm,eavu-b2qa,map,"Public Instruction, Office of Superintendent of (OSPI)","Public Instruction, Office of Superintendent of (OSPI)"
me8q-n6k7,,,"Labor & Industries, Department of (LNI)",
e573-w2te,,,City of Colfax,
eem2-bfzj,,,"Public Instruction, Office of Superintendent of (OSPI)",
ih74-vkgx,,,"Public Instruction, Office of Superintendent of (OSPI)",
d5yk-87be,8mdj-raze,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
i8zg-qycm,y8vk-3hy9,dataset,"Health, Department of (DOH)","Salmon Recovery Office, Governor's (GSRO)"
frmn-ucfw,,,"Ecology, Department of (ECY)",
7gpg-n8f9,,,"Public Instruction, Office of Superintendent of (OSPI)",
mf85-v9ji,,,"Ecology, Department of (ECY)",
9aqx-raft,,,"Salmon Recovery Office, Governor's (GSRO)",
n738-5eku,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
gxpi-37we,,,"Public Instruction, Office of Superintendent of (OSPI)",
hrar-v54d,,,Washington State Technology Solutions (CTS),
u9vu-7xty,fgyz-n3uk,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
asqd-efxe,,,"Ecology, Department of (ECY)",
rfra-yhpm,,,"Secretary of State, Office of the (SECSTATE)",
4pg6-cgg5,swyb-gmfy,dataset,"Public Instruction, Office of Superintendent of (OSPI)",Washington State Technology Solutions (CTS)
6e7z-t4qa,fgyz-n3uk,dataset,"Accountancy, State Board of (WBOA)(ACB)","Fish and Wildlife, Department of (DFW)"
985a-f68u,,,"Ecology, Department of (ECY)",
k328-cdkz,,,"Ecology, Department of (ECY)",
vnm3-j8pe,,,"Public Instruction, Office of Superintendent of (OSPI)",
4dux-4w96,aw3j-6k75,dataset,Other external user,"Ecology, Department of (ECY)"
j95z-aczq,xms2-7pwe,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Salmon Recovery Office, Governor's (GSRO)"
up8z-4b6h,cqra-s74n,dataset,Asotin County Library,"Fish and Wildlife, Department of (DFW)"
dtba-89sp,,,"Public Instruction, Office of Superintendent of (OSPI)",
emhz-m99x,,,"Health, Department of (DOH)",
vgxg-6wg9,,,Asotin County Library,
5bhy-tuxk,,,"Public Instruction, Office of Superintendent of (OSPI)",
a5q3-ti5h,,,"Public Instruction, Office of Superintendent of (OSPI)",
cjei-x365,qxh8-f4bd,dataset,"Labor & Industries, Department of (LNI)","Health, Department of (DOH)"
sg4a-7hjj,,,"Ecology, Department of (ECY)",
gjiu-inph,,,"Public Instruction, Office of Superintendent of (OSPI)",
x7f4-cm3f,,,"Public Instruction, Office of Superintendent of (OSPI)",
6bpk-s36s,,,Washington State Technology Solutions (CTS),
haya-47y5,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
6xt2-phwm,,,"Financial Management, Office of (OFM)",
f9h8-rtz6,,,"Financial Management, Office of (OFM)",
jhqc-qhzd,,,"Public Instruction, Office of Superintendent of (OSPI)",
k6eq-6kgs,,,Washington State Technology Solutions (CTS),
ui95-axtn,,,"Fish and Wildlife, Department of (DFW)",
6xgf-ceg4,,,"Financial Management, Office of (OFM)",
nnm6-gknp,t94r-s3m2,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
wiq8-rgsc,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
rb8e-i6kz,,,"Public Instruction, Office of Superintendent of (OSPI)",
fnd5-jbg4,,,"Public Instruction, Office of Superintendent of (OSPI)",
b5av-kucj,,,"Public Instruction, Office of Superintendent of (OSPI)",
hn4a-bdxf,,,Washington Student Achievement Council (WSAC),
s53d-2j2f,dybp-n2zw,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
b8h7-bk6d,,,"Public Instruction, Office of Superintendent of (OSPI)",
vsdn-p63a,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
jnta-5h6q,qxh8-f4bd,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Health, Department of (DOH)"
kh8j-5gf2,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
2xmg-9s94,,,"Blind, Department of Services for the (DSB)",
fyjv-p9cr,,,"Financial Management, Office of (OFM)",
eb82-e93u,,,"Public Instruction, Office of Superintendent of (OSPI)",
76ay-i9t9,,,Asotin County Library,
tdj4-7jx3,7iwq-4tne,dataset,Other external user,"Salmon Recovery Office, Governor's (GSRO)"
ivej-p22w,,,"Health, Department of (DOH)",
dxpp-s49b,k328-cdkz,dataset,Washington State Technology Solutions (CTS),"Ecology, Department of (ECY)"
psnw-sxk6,,,"Children, Youth, and Families, Department of (DCYF)",
i93p-yw5q,,,"Public Instruction, Office of Superintendent of (OSPI)",
hngz-wit3,ehju-t29q,dataset,Washington Student Achievement Council (WSAC),Other external user
avbf-hy5j,,,"Financial Management, Office of (OFM)",
68nh-9ayj,dybp-n2zw,parent asset is private or deleted,"Public Instruction, Office of Superintendent of (OSPI)",parent asset is private or deleted
u7xz-ji7m,,,"Public Instruction, Office of Superintendent of (OSPI)",
h9a6-g38s,,,"Fish and Wildlife, Department of (DFW)",
mcjf-t2vf,,,"Ecology, Department of (ECY)",
edkm-tiya,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
ptne-jxct,7iwq-4tne,dataset,"Financial Management, Office of (OFM)","Salmon Recovery Office, Governor's (GSRO)"
x4z7-ddhj,,,Asotin County Library,
bk3x-v4pt,,,Other external user,
mi4w-iait,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
wf4y-inqh,,,Timberland Regional Library,
av38-9xgz,cqra-s74n,dataset,"Fish and Wildlife, Department of (DFW)","Fish and Wildlife, Department of (DFW)"
9yby-x59c,,,"Salmon Recovery Office, Governor's (GSRO)",
ksbn-hrmn,,,"Ecology, Department of (ECY)",
53bn-cucs,,,"Ecology, Department of (ECY)",
fbtu-87pv,,,"Public Instruction, Office of Superintendent of (OSPI)",
tzrg-kkis,,,Asotin County Library,
wmi9-irxa,,,Other external user,
uup6-isxd,,,"Public Instruction, Office of Superintendent of (OSPI)",
fznq-izyp,,,"Public Instruction, Office of Superintendent of (OSPI)",
8zri-z5hi,,,"Public Instruction, Office of Superintendent of (OSPI)",
2dbp-k88s,xh35-3825,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Ecology, Department of (ECY)"
kb5k-gttu,cqra-s74n,dataset,"Children, Youth, and Families, Department of (DCYF)","Fish and Wildlife, Department of (DFW)"
p3d3-b2zu,,,"Public Instruction, Office of Superintendent of (OSPI)",
j2ci-83i7,,,"Public Instruction, Office of Superintendent of (OSPI)",
awhz-wbzc,,,"Public Instruction, Office of Superintendent of (OSPI)",
imxw-ipnc,,,"Ecology, Department of (ECY)",
mibg-3zz6,,,Recreation and Conservation Office (RCO),
dtif-h7mv,,,"Public Instruction, Office of Superintendent of (OSPI)",
m3md-6kja,ktwz-dygw,dataset,Recreation and Conservation Office (RCO),Other external user
re5s-n6uc,cqra-s74n,dataset,"Public Instruction, Office of Superintendent of (OSPI)","Fish and Wildlife, Department of (DFW)"
vhzd-vikk,,,Asotin County Library,
wscw-8xz4,,,"Public Instruction, Office of Superintendent of (OSPI)",
6njs-53y5,,,"Financial Management, Office of (OFM)",
3jzv-2592,,,"Natural Resources, Department of (DNR)",
ierh-j2nr,,,"Public Instruction, Office of Superintendent of (OSPI)",
fx8x-eh2j,,,Other external user,
brkr-cvcj,,,"Public Instruction, Office of Superintendent of (OSPI)",
ubra-dqsi,fvrz-yz45,dataset,Public Disclosure Commission (PDC),"Attorney General, Office of the (ATG)"
ff68-pa9c,,,"Ecology, Department of (ECY)",
5t5b-7yy4,,,Asotin County Library,
b5bt-gq9k,,,"Public Instruction, Office of Superintendent of (OSPI)",
hjcs-ehy4,,,Asotin County Library,
y3ue-qzsv,,,"Salmon Recovery Office, Governor's (GSRO)",
